x=78.571429,y=0.000000
x=78.571413,y=0.108143
x=78.571367,y=0.216287
x=78.571291,y=0.324432
x=78.571183,y=0.432579
x=78.571045,y=0.540728
x=78.570877,y=0.648881
x=78.570678,y=0.757039
x=78.570448,y=0.865200
x=78.570187,y=0.973368
x=78.569896,y=1.081541
x=78.569574,y=1.189721
x=78.569221,y=1.297908
x=78.568838,y=1.406104
x=78.568424,y=1.514308
x=78.567979,y=1.622522
x=78.567504,y=1.730746
x=78.566998,y=1.838980
x=78.566461,y=1.947226
x=78.565893,y=2.055485
x=78.565295,y=2.163756
x=78.564666,y=2.272040
x=78.564006,y=2.380339
x=78.563315,y=2.488652
x=78.562594,y=2.596981
x=78.561841,y=2.705327
x=78.561058,y=2.813689
x=78.560245,y=2.922069
x=78.559400,y=3.030467
x=78.558524,y=3.138883
x=78.557618,y=3.247320
x=78.556681,y=3.355777
x=78.555712,y=3.464254
x=78.554713,y=3.572754
x=78.553683,y=3.681275
x=78.552622,y=3.789820
x=78.551530,y=3.898389
x=78.550407,y=4.006981
x=78.549253,y=4.115599
x=78.548069,y=4.224243
x=78.546853,y=4.332913
x=78.545605,y=4.441610
x=78.544327,y=4.550335
x=78.543018,y=4.659089
x=78.541678,y=4.767871
x=78.540306,y=4.876684
x=78.538904,y=4.985527
x=78.537470,y=5.094401
x=78.536005,y=5.203308
x=78.534508,y=5.312247
x=78.532981,y=5.421219
x=78.531422,y=5.530225
x=78.529832,y=5.639267
x=78.528210,y=5.748343
x=78.526557,y=5.857456
x=78.524873,y=5.966605
x=78.523157,y=6.075792
x=78.521410,y=6.185018
x=78.519631,y=6.294282
x=78.517821,y=6.403586
x=78.515979,y=6.512930
x=78.514106,y=6.622315
x=78.512201,y=6.731742
x=78.510264,y=6.841212
x=78.508296,y=6.950724
x=78.506296,y=7.060281
x=78.504265,y=7.169882
x=78.502201,y=7.279528
x=78.500106,y=7.389220
x=78.497979,y=7.498959
x=78.495820,y=7.608746
x=78.493629,y=7.718581
x=78.491406,y=7.828464
x=78.489151,y=7.938397
x=78.486864,y=8.048381
x=78.484545,y=8.158415
x=78.482194,y=8.268502
x=78.479811,y=8.378640
x=78.477396,y=8.488832
x=78.474948,y=8.599078
x=78.472468,y=8.709379
x=78.469956,y=8.819735
x=78.467411,y=8.930147
x=78.464834,y=9.040615
x=78.462225,y=9.151142
x=78.459583,y=9.261727
x=78.456909,y=9.372371
x=78.454202,y=9.483074
x=78.451462,y=9.593839
x=78.448690,y=9.704664
x=78.445885,y=9.815552
x=78.443047,y=9.926502
x=78.440177,y=10.037516
x=78.437273,y=10.148594
x=78.434337,y=10.259737
x=78.431368,y=10.370946
x=78.428365,y=10.482222
x=78.425330,y=10.593565
x=78.422262,y=10.704976
x=78.419160,y=10.816455
x=78.416025,y=10.928005
x=78.412857,y=11.039624
x=78.409655,y=11.151315
x=78.406421,y=11.263078
x=78.403152,y=11.374913
x=78.399851,y=11.486821
x=78.396515,y=11.598804
x=78.393146,y=11.710862
x=78.389744,y=11.822996
x=78.386307,y=11.935206
x=78.382837,y=12.047493
x=78.379333,y=12.159858
x=78.375795,y=12.272303
x=78.372223,y=12.384827
x=78.368617,y=12.497431
x=78.364977,y=12.610117
x=78.361303,y=12.722884
x=78.357595,y=12.835735
x=78.353852,y=12.948669
x=78.350075,y=13.061688
x=78.346264,y=13.174792
x=78.342418,y=13.287982
x=78.338537,y=13.401259
x=78.334622,y=13.514623
x=78.330672,y=13.628076
x=78.326688,y=13.741618
x=78.322668,y=13.855251
x=78.318614,y=13.968974
x=78.314525,y=14.082789
x=78.310401,y=14.196697
x=78.306241,y=14.310698
x=78.302046,y=14.424793
x=78.297817,y=14.538984
x=78.293551,y=14.653270
x=78.289251,y=14.767653
x=78.284915,y=14.882134
x=78.280543,y=14.996713
x=78.276136,y=15.111392
x=78.271692,y=15.226170
x=78.267214,y=15.341050
x=78.262699,y=15.456031
x=78.258148,y=15.571116
x=78.253561,y=15.686304
x=78.248938,y=15.801596
x=78.244279,y=15.916993
x=78.239584,y=16.032497
x=78.234852,y=16.148108
x=78.230084,y=16.263827
x=78.225279,y=16.379655
x=78.220438,y=16.495592
x=78.215559,y=16.611640
x=78.210645,y=16.727799
x=78.205693,y=16.844071
x=78.200704,y=16.960456
x=78.195678,y=17.076955
x=78.190615,y=17.193570
x=78.185514,y=17.310300
x=78.180377,y=17.427147
x=78.175201,y=17.544112
x=78.169989,y=17.661196
x=78.164738,y=17.778400
x=78.159450,y=17.895724
x=78.154124,y=18.013169
x=78.148760,y=18.130737
x=78.143358,y=18.248428
x=78.137918,y=18.366244
x=78.132440,y=18.484185
x=78.126924,y=18.602252
x=78.121369,y=18.720446
x=78.115775,y=18.838768
x=78.110143,y=18.957219
x=78.104472,y=19.075801
x=78.098762,y=19.194513
