x=-140.000000,y=-50.000000
x=-139.900117,y=-49.995164
x=-139.800234,y=-49.990329
x=-139.700351,y=-49.985493
x=-139.600468,y=-49.980657
x=-139.500585,y=-49.975821
x=-139.400702,y=-49.970986
x=-139.300819,y=-49.966150
x=-139.200936,y=-49.961314
x=-139.101053,y=-49.956479
x=-139.001170,y=-49.951643
x=-138.901287,y=-49.946807
x=-138.801404,y=-49.941971
x=-138.701521,y=-49.937136
x=-138.601638,y=-49.932300
x=-138.501755,y=-49.927464
x=-138.401872,y=-49.922629
x=-138.301989,y=-49.917793
x=-138.202106,y=-49.912957
x=-138.102223,y=-49.908121
x=-138.002340,y=-49.903286
x=-137.902457,y=-49.898450
x=-137.802574,y=-49.893614
x=-137.702691,y=-49.888779
x=-137.602808,y=-49.883943
x=-137.502925,y=-49.879107
x=-137.403042,y=-49.874272
x=-137.303159,y=-49.869436
x=-137.203276,y=-49.864600
x=-137.103393,y=-49.859764
x=-137.003510,y=-49.854929
x=-136.903627,y=-49.850093
x=-136.803744,y=-49.845257
x=-136.703861,y=-49.840422
x=-136.603978,y=-49.835586
x=-136.504095,y=-49.830750
x=-136.404212,y=-49.825914
x=-136.304329,y=-49.821079
x=-136.204446,y=-49.816243
x=-136.104563,y=-49.811407
x=-136.004680,y=-49.806572
x=-135.904797,y=-49.801736
x=-135.804914,y=-49.796900
x=-135.705031,y=-49.792064
x=-135.605148,y=-49.787229
x=-135.505265,y=-49.782393
x=-135.405381,y=-49.777557
x=-135.305498,y=-49.772722
x=-135.205615,y=-49.767886
x=-135.105732,y=-49.763050
x=-135.005849,y=-49.758214
x=-134.905966,y=-49.753379
x=-134.806083,y=-49.748543
x=-134.706200,y=-49.743707
x=-134.606317,y=-49.738872
x=-134.506434,y=-49.734036
x=-134.406551,y=-49.729200
x=-134.306668,y=-49.724364
x=-134.206785,y=-49.719529
x=-134.106902,y=-49.714693
x=-134.007019,y=-49.709857
x=-133.907136,y=-49.705022
x=-133.807253,y=-49.700186
x=-133.707370,y=-49.695350
x=-133.607487,y=-49.690514
x=-133.507604,y=-49.685679
x=-133.407721,y=-49.680843
x=-133.307838,y=-49.676007
x=-133.207955,y=-49.671172
x=-133.108072,y=-49.666336
x=-133.008189,y=-49.661500
x=-132.908306,y=-49.656664
x=-132.808423,y=-49.651829
x=-132.708540,y=-49.646993
x=-132.608657,y=-49.642157
x=-132.508774,y=-49.637322
x=-132.408891,y=-49.632486
x=-132.309008,y=-49.627650
x=-132.209125,y=-49.622815
x=-132.109242,y=-49.617979
x=-132.009359,y=-49.613143
x=-131.909476,y=-49.608307
x=-131.809593,y=-49.603472
x=-131.709710,y=-49.598636
x=-131.609827,y=-49.593800
x=-131.509944,y=-49.588965
x=-131.410061,y=-49.584129
x=-131.310178,y=-49.579293
x=-131.210295,y=-49.574457
x=-131.110412,y=-49.569622
x=-131.010529,y=-49.564786
x=-130.910646,y=-49.559950
x=-130.810763,y=-49.555115
x=-130.710880,y=-49.550279
x=-130.610997,y=-49.545443
x=-130.511114,y=-49.540607
x=-130.411231,y=-49.535772
x=-130.311348,y=-49.530936
x=-130.211465,y=-49.526100
x=-130.111582,y=-49.521265
x=-130.011699,y=-49.516429
x=-129.911816,y=-49.511593
x=-129.811933,y=-49.506757
x=-129.712050,y=-49.501922
x=-129.612167,y=-49.497086
x=-129.512284,y=-49.492250
x=-129.412401,y=-49.487415
x=-129.312518,y=-49.482579
x=-129.212635,y=-49.477743
x=-129.112752,y=-49.472907
x=-129.012869,y=-49.468072
x=-128.912986,y=-49.463236
x=-128.813103,y=-49.458400
x=-128.713220,y=-49.453565
