x=-65.000000,y=-30.000000
x=-64.948371,y=-29.914359
x=-64.896742,y=-29.828718
x=-64.845112,y=-29.743076
x=-64.793483,y=-29.657435
x=-64.741854,y=-29.571794
x=-64.690225,y=-29.486153
x=-64.638595,y=-29.400511
x=-64.586966,y=-29.314870
x=-64.535337,y=-29.229229
x=-64.483708,y=-29.143588
x=-64.432078,y=-29.057946
x=-64.380449,y=-28.972305
x=-64.328820,y=-28.886664
x=-64.277191,y=-28.801023
x=-64.225561,y=-28.715381
x=-64.173932,y=-28.629740
x=-64.122303,y=-28.544099
x=-64.070674,y=-28.458458
x=-64.019044,y=-28.372816
x=-63.967415,y=-28.287175
x=-63.915786,y=-28.201534
x=-63.864157,y=-28.115893
x=-63.812527,y=-28.030252
x=-63.760898,y=-27.944610
x=-63.709269,y=-27.858969
x=-63.657640,y=-27.773328
x=-63.606011,y=-27.687687
x=-63.554381,y=-27.602045
x=-63.502752,y=-27.516404
x=-63.451123,y=-27.430763
x=-63.399494,y=-27.345122
x=-63.347864,y=-27.259480
x=-63.296235,y=-27.173839
x=-63.244606,y=-27.088198
x=-63.192977,y=-27.002557
x=-63.141347,y=-26.916915
x=-63.089718,y=-26.831274
x=-63.038089,y=-26.745633
x=-62.986460,y=-26.659992
x=-62.934830,y=-26.574351
x=-62.883201,y=-26.488709
x=-62.831572,y=-26.403068
x=-62.779943,y=-26.317427
x=-62.728313,y=-26.231786
x=-62.676684,y=-26.146144
x=-62.625055,y=-26.060503
x=-62.573426,y=-25.974862
x=-62.521796,y=-25.889221
x=-62.470167,y=-25.803579
x=-62.418538,y=-25.717938
x=-62.366909,y=-25.632297
x=-62.315280,y=-25.546656
x=-62.263650,y=-25.461014
x=-62.212021,y=-25.375373
x=-62.160392,y=-25.289732
x=-62.108763,y=-25.204091
x=-62.057133,y=-25.118449
x=-62.005504,y=-25.032808
x=-61.953875,y=-24.947167
x=-61.902246,y=-24.861526
x=-61.850616,y=-24.775885
x=-61.798987,y=-24.690243
x=-61.747358,y=-24.604602
x=-61.695729,y=-24.518961
x=-61.644099,y=-24.433320
x=-61.592470,y=-24.347678
x=-61.540841,y=-24.262037
x=-61.489212,y=-24.176396
x=-61.437582,y=-24.090755
x=-61.385953,y=-24.005113
x=-61.334324,y=-23.919472
x=-61.282695,y=-23.833831
x=-61.231065,y=-23.748190
x=-61.179436,y=-23.662548
x=-61.127807,y=-23.576907
x=-61.076178,y=-23.491266
x=-61.024549,y=-23.405625
x=-60.972919,y=-23.319983
x=-60.921290,y=-23.234342
x=-60.869661,y=-23.148701
x=-60.818032,y=-23.063060
x=-60.766402,y=-22.977419
x=-60.714773,y=-22.891777
x=-60.663144,y=-22.806136
x=-60.611515,y=-22.720495
