x=-180.000000,y=-135.000000,z=0.000000
x=-179.990218,y=-134.966819,z=0.001521
x=-179.980437,y=-134.933638,z=0.003042
x=-179.970655,y=-134.900457,z=0.004563
x=-179.960873,y=-134.867276,z=0.006084
x=-179.951092,y=-134.834095,z=0.007605
x=-179.941310,y=-134.800914,z=0.009126
x=-179.931528,y=-134.767733,z=0.010648
x=-179.921747,y=-134.734552,z=0.012169
x=-179.911965,y=-134.701371,z=0.013690
x=-179.902184,y=-134.668190,z=0.015211
x=-179.892402,y=-134.635009,z=0.016732
x=-179.882620,y=-134.601828,z=0.018253
x=-179.872839,y=-134.568647,z=0.019774
x=-179.863057,y=-134.535466,z=0.021295
x=-179.853275,y=-134.502285,z=0.022816
x=-179.843494,y=-134.469104,z=0.024337
x=-179.833712,y=-134.435924,z=0.025858
x=-179.823930,y=-134.402743,z=0.027379
x=-179.814149,y=-134.369562,z=0.028901
x=-179.804367,y=-134.336381,z=0.030422
x=-179.794585,y=-134.303200,z=0.031943
x=-179.784804,y=-134.270019,z=0.033464
x=-179.775022,y=-134.236838,z=0.034985
x=-179.765240,y=-134.203657,z=0.036506
x=-179.755459,y=-134.170476,z=0.038027
x=-179.745677,y=-134.137295,z=0.039548
x=-179.735895,y=-134.104114,z=0.041069
x=-179.726114,y=-134.070933,z=0.042590
x=-179.716332,y=-134.037752,z=0.044111
x=-179.706551,y=-134.004571,z=0.045632
x=-179.696769,y=-133.971390,z=0.047153
x=-179.686987,y=-133.938209,z=0.048675
x=-179.677206,y=-133.905028,z=0.050196
x=-179.667424,y=-133.871847,z=0.051717
x=-179.657642,y=-133.838666,z=0.053238
x=-179.647861,y=-133.805485,z=0.054759
x=-179.638079,y=-133.772304,z=0.056280
x=-179.628297,y=-133.739123,z=0.057801
x=-179.618516,y=-133.705942,z=0.059322
x=-179.608734,y=-133.672761,z=0.060843
x=-179.598952,y=-133.639580,z=0.062364
x=-179.589171,y=-133.606399,z=0.063885
x=-179.579389,y=-133.573218,z=0.065406
x=-179.569607,y=-133.540037,z=0.066928
x=-179.559826,y=-133.506856,z=0.068449
x=-179.550044,y=-133.473675,z=0.069970
x=-179.540263,y=-133.440494,z=0.071491
x=-179.530481,y=-133.407313,z=0.073012
x=-179.520699,y=-133.374133,z=0.074533
x=-179.510918,y=-133.340952,z=0.076054
x=-179.501136,y=-133.307771,z=0.077575
x=-179.491354,y=-133.274590,z=0.079096
x=-179.481573,y=-133.241409,z=0.080617
x=-179.471791,y=-133.208228,z=0.082138
x=-179.462009,y=-133.175047,z=0.083659
x=-179.452228,y=-133.141866,z=0.085181
x=-179.442446,y=-133.108685,z=0.086702
x=-179.432664,y=-133.075504,z=0.088223
x=-179.422883,y=-133.042323,z=0.089744
x=-179.413101,y=-133.009142,z=0.091265
x=-179.403319,y=-132.975961,z=0.092786
x=-179.393538,y=-132.942780,z=0.094307
x=-179.383756,y=-132.909599,z=0.095828
x=-179.373974,y=-132.876418,z=0.097349
x=-179.364193,y=-132.843237,z=0.098870
x=-179.354411,y=-132.810056,z=0.100391
x=-179.344630,y=-132.776875,z=0.101912
x=-179.334848,y=-132.743694,z=0.103433
x=-179.325066,y=-132.710513,z=0.104955
x=-179.315285,y=-132.677332,z=0.106476
x=-179.305503,y=-132.644151,z=0.107997
x=-179.295721,y=-132.610970,z=0.109518
x=-179.285940,y=-132.577789,z=0.111039
x=-179.276158,y=-132.544608,z=0.112560
x=-179.266376,y=-132.511427,z=0.114081
x=-179.256595,y=-132.478246,z=0.115602
x=-179.246813,y=-132.445065,z=0.117123
x=-179.237031,y=-132.411884,z=0.118644
x=-179.227250,y=-132.378703,z=0.120165
x=-179.217468,y=-132.345522,z=0.121686
x=-179.207686,y=-132.312342,z=0.123208
x=-179.197905,y=-132.279161,z=0.124729
x=-179.188123,y=-132.245980,z=0.126250
x=-179.178342,y=-132.212799,z=0.127771
x=-179.168560,y=-132.179618,z=0.129292
x=-179.158778,y=-132.146437,z=0.130813
x=-179.148997,y=-132.113256,z=0.132334
x=-179.139215,y=-132.080075,z=0.133855
x=-179.129433,y=-132.046894,z=0.135376
x=-179.119652,y=-132.013713,z=0.136897
x=-179.109870,y=-131.980532,z=0.138418
x=-179.100088,y=-131.947351,z=0.139939
x=-179.090307,y=-131.914170,z=0.141460
x=-179.080525,y=-131.880989,z=0.142982
x=-179.070743,y=-131.847808,z=0.144503
x=-179.060962,y=-131.814627,z=0.146024
x=-179.051180,y=-131.781446,z=0.147545
x=-179.041398,y=-131.748265,z=0.149066
x=-179.031617,y=-131.715084,z=0.150587
x=-179.021835,y=-131.681903,z=0.152108
x=-179.012053,y=-131.648722,z=0.153629
x=-179.002272,y=-131.615541,z=0.155150
x=-178.992490,y=-131.582360,z=0.156671
x=-178.982709,y=-131.549179,z=0.158192
x=-178.972927,y=-131.515998,z=0.159713
x=-178.963145,y=-131.482817,z=0.161235
x=-178.953364,y=-131.449636,z=0.162756
x=-178.943582,y=-131.416455,z=0.164277
x=-178.933800,y=-131.383274,z=0.165798
x=-178.924019,y=-131.350093,z=0.167319
x=-178.914237,y=-131.316912,z=0.168840
x=-178.904455,y=-131.283731,z=0.170361
x=-178.894674,y=-131.250551,z=0.171882
x=-178.884892,y=-131.217370,z=0.173403
x=-178.875110,y=-131.184189,z=0.174924
x=-178.865329,y=-131.151008,z=0.176445
x=-178.855547,y=-131.117827,z=0.177966
x=-178.845765,y=-131.084646,z=0.179487
x=-178.835984,y=-131.051465,z=0.181009
x=-178.826202,y=-131.018284,z=0.182530
x=-178.816421,y=-130.985103,z=0.184051
x=-178.806639,y=-130.951922,z=0.185572
x=-178.796857,y=-130.918741,z=0.187093
x=-178.787076,y=-130.885560,z=0.188614
x=-178.777294,y=-130.852379,z=0.190135
x=-178.767512,y=-130.819198,z=0.191656
x=-178.757731,y=-130.786017,z=0.193177
x=-178.747949,y=-130.752836,z=0.194698
x=-178.738167,y=-130.719655,z=0.196219
x=-178.728386,y=-130.686474,z=0.197740
x=-178.718604,y=-130.653293,z=0.199262
x=-178.708822,y=-130.620112,z=0.200783
x=-178.699041,y=-130.586931,z=0.202304
x=-178.689259,y=-130.553750,z=0.203825
x=-178.679477,y=-130.520569,z=0.205346
x=-178.669696,y=-130.487388,z=0.206867
x=-178.659914,y=-130.454207,z=0.208388
x=-178.650132,y=-130.421026,z=0.209909
x=-178.640351,y=-130.387845,z=0.211430
x=-178.630569,y=-130.354664,z=0.212951
x=-178.620788,y=-130.321483,z=0.214472
x=-178.611006,y=-130.288302,z=0.215993
x=-178.601224,y=-130.255121,z=0.217514
x=-178.591443,y=-130.221940,z=0.219036
x=-178.581661,y=-130.188760,z=0.220557
x=-178.571879,y=-130.155579,z=0.222078
x=-178.562098,y=-130.122398,z=0.223599
x=-178.552316,y=-130.089217,z=0.225120
x=-178.542534,y=-130.056036,z=0.226641
x=-178.532753,y=-130.022855,z=0.228162
x=-178.522971,y=-129.989674,z=0.229683
x=-178.513189,y=-129.956493,z=0.231204
x=-178.503408,y=-129.923312,z=0.232725
x=-178.493626,y=-129.890131,z=0.234246
x=-178.483844,y=-129.856950,z=0.235767
x=-178.474063,y=-129.823769,z=0.237289
x=-178.464281,y=-129.790588,z=0.238810
x=-178.454500,y=-129.757407,z=0.240331
x=-178.444718,y=-129.724226,z=0.241852
x=-178.434936,y=-129.691045,z=0.243373
x=-178.425155,y=-129.657864,z=0.244894
x=-178.415373,y=-129.624683,z=0.246415
x=-178.405591,y=-129.591502,z=0.247936
x=-178.395810,y=-129.558321,z=0.249457
x=-178.386028,y=-129.525140,z=0.250978
x=-178.376246,y=-129.491959,z=0.252499
x=-178.366465,y=-129.458778,z=0.254020
x=-178.356683,y=-129.425597,z=0.255542
x=-178.346901,y=-129.392416,z=0.257063
