x=0.000000,y=76.000000
x=-0.162500,y=75.999137
x=-0.325000,y=75.996550
x=-0.487502,y=75.992237
x=-0.650004,y=75.986199
x=-0.812508,y=75.978437
x=-0.975013,y=75.968950
x=-1.137521,y=75.957740
x=-1.300032,y=75.944807
x=-1.462545,y=75.930151
x=-1.625062,y=75.913774
x=-1.787583,y=75.895676
x=-1.950107,y=75.875858
x=-2.112636,y=75.854321
x=-2.275169,y=75.831066
x=-2.437708,y=75.806095
x=-2.600252,y=75.779408
x=-2.762802,y=75.751008
x=-2.925357,y=75.720895
x=-3.087919,y=75.689070
x=-3.250488,y=75.655537
x=-3.413063,y=75.620296
x=-3.575646,y=75.583349
x=-3.738236,y=75.544698
x=-3.900834,y=75.504344
x=-4.063439,y=75.462291
x=-4.226053,y=75.418541
x=-4.388675,y=75.373094
x=-4.551306,y=75.325954
x=-4.713946,y=75.277124
x=-4.876595,y=75.226605
x=-5.039253,y=75.174400
x=-5.201920,y=75.120512
x=-5.364597,y=75.064944
x=-5.527283,y=75.007698
x=-5.689980,y=74.948777
x=-5.852686,y=74.888185
x=-6.015402,y=74.825924
x=-6.178128,y=74.761998
x=-6.340864,y=74.696409
x=-6.503610,y=74.629162
x=-6.666367,y=74.560259
x=-6.829133,y=74.489704
x=-6.991910,y=74.417501
x=-7.154697,y=74.343653
x=-7.317493,y=74.268164
x=-7.480300,y=74.191038
x=-7.643117,y=74.112279
x=-7.805944,y=74.031890
x=-7.968780,y=73.949877
x=-8.131625,y=73.866242
x=-8.294480,y=73.780990
x=-8.457345,y=73.694126
x=-8.620218,y=73.605654
x=-8.783099,y=73.515578
x=-8.945989,y=73.423903
x=-9.108888,y=73.330633
x=-9.271794,y=73.235774
x=-9.434707,y=73.139330
x=-9.597628,y=73.041305
x=-9.760555,y=72.941706
x=-9.923489,y=72.840536
x=-10.086429,y=72.737801
x=-10.249374,y=72.633506
x=-10.412324,y=72.527656
x=-10.575278,y=72.420257
x=-10.738236,y=72.311314
x=-10.901198,y=72.200833
x=-11.064162,y=72.088818
x=-11.227129,y=71.975276
x=-11.390097,y=71.860213
x=-11.553065,y=71.743633
x=-11.716034,y=71.625543
x=-11.879002,y=71.505950
x=-12.041969,y=71.384857
x=-12.204933,y=71.262273
x=-12.367894,y=71.138203
x=-12.530852,y=71.012652
x=-12.693804,y=70.885628
x=-12.856751,y=70.757137
x=-13.019691,y=70.627185
x=-13.182623,y=70.495778
x=-13.345547,y=70.362924
x=-13.508461,y=70.228628
x=-13.671364,y=70.092897
x=-13.834255,y=69.955739
x=-13.997133,y=69.817159
x=-14.159997,y=69.677165
x=-14.322845,y=69.535764
x=-14.485677,y=69.392962
x=-14.648491,y=69.248767
x=-14.811285,y=69.103186
x=-14.974058,y=68.956225
x=-15.136810,y=68.807893
x=-15.299538,y=68.658197
x=-15.462241,y=68.507143
x=-15.624917,y=68.354739
x=-15.787566,y=68.200994
x=-15.950185,y=68.045913
x=-16.112772,y=67.889506
x=-16.275327,y=67.731779
x=-16.437848,y=67.572741
x=-16.600332,y=67.412398
x=-16.762779,y=67.250759
x=-16.925186,y=67.087833
x=-17.087551,y=66.923626
x=-17.249872,y=66.758146
x=-17.412149,y=66.591403
x=-17.574378,y=66.423403
x=-17.736558,y=66.254155
x=-17.898687,y=66.083668
x=-18.060762,y=65.911949
x=-18.222782,y=65.739007
x=-18.384745,y=65.564850
x=-18.546647,y=65.389486
x=-18.708488,y=65.212925
x=-18.870265,y=65.035174
x=-19.031975,y=64.856243
x=-19.193617,y=64.676139
x=-19.355187,y=64.494872
x=-19.516684,y=64.312449
x=-19.678105,y=64.128881
x=-19.839447,y=63.944175
x=-20.000708,y=63.758340
x=-20.161886,y=63.571386
x=-20.322978,y=63.383321
x=-20.483980,y=63.194155
x=-20.644892,y=63.003895
x=-20.805708,y=62.812552
x=-20.966428,y=62.620135
x=-21.127048,y=62.426651
x=-21.287566,y=62.232112
x=-21.447977,y=62.036525
x=-21.608281,y=61.839901
x=-21.768472,y=61.642247
x=-21.928549,y=61.443575
x=-22.088509,y=61.243892
x=-22.248348,y=61.043209
x=-22.408063,y=60.841535
x=-22.567651,y=60.638879
x=-22.727109,y=60.435251
x=-22.886433,y=60.230661
x=-23.045621,y=60.025117
x=-23.204669,y=59.818629
x=-23.363573,y=59.611208
x=-23.522330,y=59.402863
x=-23.680936,y=59.193602
x=-23.839389,y=58.983437
x=-23.997684,y=58.772377
x=-24.155819,y=58.560431
x=-24.313788,y=58.347610
x=-24.471590,y=58.133923
x=-24.629219,y=57.919379
x=-24.786672,y=57.703990
x=-24.943946,y=57.487764
x=-25.101036,y=57.270712
x=-25.257939,y=57.052844
x=-25.414651,y=56.834169
x=-25.571168,y=56.614698
x=-25.727485,y=56.394439
x=-25.883600,y=56.173405
x=-26.039507,y=55.951604
x=-26.195202,y=55.729046
x=-26.350682,y=55.505742
x=-26.505942,y=55.281702
x=-26.660979,y=55.056935
x=-26.815787,y=54.831452
x=-26.970362,y=54.605263
x=-27.124701,y=54.378379
x=-27.278798,y=54.150808
x=-27.432650,y=53.922562
x=-27.586251,y=53.693651
x=-27.739598,y=53.464084
x=-27.892685,y=53.233872
x=-28.045509,y=53.003026
x=-28.198064,y=52.771554
x=-28.350346,y=52.539469
